asset_id,asset_name,asset_group,category,state,district,latitude,longitude,nearest_environment_id,nearest_environment_name,protection_type,environment_type,distance_to_sensitive_area_m,distance_to_sensitive_area_km,relationship,nearest_land_id,nearest_land_name,dist_land_m,dist_land_km,land_relationship,nearest_marine_id,nearest_marine_name,dist_marine_m,dist_marine_km,marine_relationship
OSM_node_13229928798,Unnamed Historic Site (Wayside Shrine),Core Tourism Asset,Historic Site (Wayside Shrine),Johor,Johor Bahru,1.522596,103.855393,010,Seluyut Water Catchment Forest,Forest Reserve,Land,27171.4,27.17,Outside,010,Seluyut Water Catchment Forest,27171.4,27.17,Outside,031,Tanjong Piai National Park,43580.5,43.58,Outside
OSM_way_1383693100,Galeri Penjara Ayer Molek,Core Tourism Asset,Museum,Johor,Johor Bahru,1.463176,103.756776,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,26955.6,26.96,Outside,004,Gunung Pulai Water Catchment Forest,26955.6,26.96,Outside,031,Tanjong Piai National Park,30791.8,30.79,Outside
OSM_way_285861174,Istana Besar,Core Tourism Asset,Museum,Johor,Johor Bahru,1.455045,103.756438,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27491.8,27.49,Outside,004,Gunung Pulai Water Catchment Forest,27491.8,27.49,Outside,031,Tanjong Piai National Park,30288.8,30.29,Outside
OSM_node_9590275022,Johor Bahru Chinese Heritage Museum,Core Tourism Asset,Museum,Johor,Johor Bahru,1.456024,103.763277,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,28015.2,28.02,Outside,004,Gunung Pulai Water Catchment Forest,28015.2,28.02,Outside,031,Tanjong Piai National Park,30999.0,31.0,Outside
OSM_node_5253879660,Kite Museum Pasir Gudang,Core Tourism Asset,Museum,Johor,Johor Bahru,1.474044,103.906061,010,Seluyut Water Catchment Forest,Forest Reserve,Land,29746.3,29.75,Outside,010,Seluyut Water Catchment Forest,29746.3,29.75,Outside,031,Tanjong Piai National Park,46154.0,46.15,Outside
OSM_node_6746284985,Kwong Siew Heritage Gallery,Core Tourism Asset,Museum,Johor,Johor Bahru,1.459075,103.766265,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,28069.6,28.07,Outside,004,Gunung Pulai Water Catchment Forest,28069.6,28.07,Outside,031,Tanjong Piai National Park,31456.7,31.46,Outside
OSM_way_809917440,Muzium Tokoh Johor,Core Tourism Asset,Museum,Johor,Johor Bahru,1.472256,103.765407,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27126.8,27.13,Outside,004,Gunung Pulai Water Catchment Forest,27126.8,27.13,Outside,031,Tanjong Piai National Park,32142.0,32.14,Outside
OSM_node_13565867809,新山南方大学学院文物与艺术馆,Core Tourism Asset,Museum,Johor,Johor Bahru,1.533673,103.681902,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,15603.2,15.6,Outside,004,Gunung Pulai Water Catchment Forest,15603.2,15.6,Outside,031,Tanjong Piai National Park,30024.4,30.02,Outside
OSM_node_13565867810,郑良树教授书画珍藏馆,Core Tourism Asset,Museum,Johor,Johor Bahru,1.533756,103.681834,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,15591.8,15.59,Outside,004,Gunung Pulai Water Catchment Forest,15591.8,15.59,Outside,031,Tanjong Piai National Park,30027.3,30.03,Outside
OSM_node_3745589488,Angry Bird,Core Tourism Asset,Theme Park,Johor,Johor Bahru,1.463137,103.763377,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27540.7,27.54,Outside,004,Gunung Pulai Water Catchment Forest,27540.7,27.54,Outside,031,Tanjong Piai National Park,31413.1,31.41,Outside
