asset_id,name,name_en,name_ms,category,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,website,phone,opening_hours,fee,wheelchair
OSM_node_6246377787,Asrama Kebajikan Ar Rayyan,,,Viewpoint,tourism=viewpoint,node,6246377787,1.576567,103.719006,Johor,01,Johor Bahru,02,,,,,
OSM_node_12071306508,Intake Sg Tiram,,,Viewpoint,tourism=viewpoint,node,12071306508,1.584117,103.894104,Johor,01,Johor Bahru,02,,,,,
OSM_node_2031222784,Legoland Malaysia Signboard,,,Viewpoint,tourism=viewpoint,node,2031222784,1.424604,103.630479,Johor,01,Johor Bahru,02,,,,,
OSM_node_6813433886,MMHE-Malaysia Marine Heavy Engineering,,,Viewpoint,tourism=viewpoint,node,6813433886,1.455138,103.880012,Johor,01,Johor Bahru,02,,,,,
OSM_node_7083277904,Pantai Stulang,Stulang beach,,Viewpoint,tourism=viewpoint,node,7083277904,1.465002,103.776471,Johor,01,Johor Bahru,02,,,,,
OSM_node_10269561758,Shell town,,,Viewpoint,tourism=viewpoint,node,10269561758,1.523414,103.84895,Johor,01,Johor Bahru,02,,,,,
OSM_node_10269581323,Unnamed Viewpoint,,,Viewpoint,tourism=viewpoint,node,10269581323,1.515561,103.842805,Johor,01,Johor Bahru,02,,,,,
OSM_node_11048916302,Unnamed Viewpoint,,,Viewpoint,tourism=viewpoint,node,11048916302,1.595455,103.783648,Johor,01,Johor Bahru,02,,,,,
OSM_node_11911658572,Unnamed Viewpoint,,,Viewpoint,tourism=viewpoint,node,11911658572,1.517038,103.847103,Johor,01,Johor Bahru,02,,,,,
OSM_node_13229928797,Unnamed Viewpoint,,,Viewpoint,tourism=viewpoint,node,13229928797,1.52086,103.85649,Johor,01,Johor Bahru,02,,,,,
OSM_node_6801058093,rumah datin sarah,,,Viewpoint,tourism=viewpoint,node,6801058093,1.469629,103.745972,Johor,01,Johor Bahru,02,,,,,
OSM_way_525508996,Austin Heights Water & Adventure Park,,,Water Park,leisure=water_park,way,525508996,1.561648,103.775168,Johor,01,Johor Bahru,02,https://www.funtime.my/tickets,+60 19-716 3183,,,
OSM_way_1041681086,Forest City Water Park,,,Water Park,leisure=water_park,way,1041681086,1.333149,103.591916,Johor,01,Johor Bahru,02,,,,,
OSM_node_13826205962,Unnamed Water Park,,,Water Park,leisure=water_park,node,13826205962,1.465388,103.731252,Johor,01,Johor Bahru,02,,,,,
OSM_node_10057332542,shrimp pond,,,Water Park,leisure=water_park,node,10057332542,1.475517,103.942696,Johor,01,Johor Bahru,02,,,,,
