asset_id,asset_name,category,state,district,lat,lon,nearest_pt_name,nearest_pt_type,distance_to_pt_m,distance_to_pt_km,nearest_bus_name,distance_to_bus_km,nearest_rail_name,distance_to_rail_km,nearest_ferry_name,distance_to_ferry_km,pt_access_tier
OSM_way_1462106446,Natural Batik Village,Attraction,Pahang,Kuantan,3.922893,103.367032,Unnamed Bus Stop,Bus Stop,101.8,0.102,Unnamed Bus Stop,0.102,Unnamed Transit Station,72.471,Jeti Kuala Kemaman,36.105,High Access
OSM_node_6330125686,Pantai Batu Hitam,Attraction,Pahang,Kuantan,3.883418,103.36619,Unnamed Bus Stop,Bus Stop,3601.2,3.601,Unnamed Bus Stop,3.601,Unnamed Transit Station,76.823,Jeti Kuala Kemaman,40.384,Low Access
OSM_way_1462545665,Pasir Puteri,Attraction,Pahang,Kuantan,3.939596,103.049752,Unnamed Bus Stop,Bus Stop,3152.0,3.152,Unnamed Bus Stop,3.152,Unnamed Transit Station,76.231,Unnamed Ferry Terminal,52.203,Low Access
OSM_node_3159010424,Rainbow Waterfall,Attraction,Pahang,Kuantan,3.922268,102.947984,Unnamed Bus Stop,Bus Stop,9566.3,9.566,Unnamed Bus Stop,9.566,Jeransang,65.359,Unnamed Ferry Terminal,47.853,Low Access
OSM_node_3161089730,Sungai Lembing Tin Mine,Attraction,Pahang,Kuantan,3.909575,103.034092,Unnamed Bus Stop,Bus Stop,713.1,0.713,Unnamed Bus Stop,0.713,Jeransang,74.758,Unnamed Ferry Terminal,48.499,Moderate Access
OSM_node_5026354022,Turtle sanctuary,Attraction,Pahang,Kuantan,4.144424,103.408081,Unnamed Bus Stop,Bus Stop,1704.0,1.704,Unnamed Bus Stop,1.704,Unnamed Transit Station,48.824,Jeti Kuala Kemaman,11.282,Limited Access
OSM_way_1266787035,Golden Beach,Beach,Pahang,Kuantan,3.802397,103.373206,Unnamed Bus Stop,Bus Stop,2993.4,2.993,Unnamed Bus Stop,2.993,Unnamed Transit Station,85.833,Jeti Kuala Kemaman,49.051,Limited Access
OSM_node_5655474357,Pantai Balok,Beach,Pahang,Kuantan,3.925207,103.373108,Unnamed Bus Stop,Bus Stop,823.5,0.824,Unnamed Bus Stop,0.824,Unnamed Transit Station,72.274,Jeti Kuala Kemaman,35.699,Moderate Access
OSM_relation_20326028,Pantai Baluk,Beach,Pahang,Kuantan,3.938501,103.381284,Unnamed Bus Stop,Bus Stop,1464.3,1.464,Unnamed Bus Stop,1.464,Unnamed Transit Station,70.897,Jeti Kuala Kemaman,34.064,Limited Access
OSM_relation_20081244,Pantai Chendor,Beach,Pahang,Kuantan,4.176802,103.423979,Unnamed Bus Stop,Bus Stop,1717.8,1.718,Unnamed Bus Stop,1.718,Unnamed Transit Station,45.767,Jeti Kuala Kemaman,7.305,Limited Access
OSM_way_338189711,Pantai Cherating,Beach,Pahang,Kuantan,4.121167,103.392104,Cherating Village,Bus Stop,1046.8,1.047,Cherating Village,1.047,Unnamed Transit Station,51.01,Jeti Kuala Kemaman,14.346,Limited Access
OSM_way_1464268652,Pantai Gelora,Beach,Pahang,Kuantan,3.807101,103.348209,Unnamed Bus Stop,Bus Stop,1098.6,1.099,Unnamed Bus Stop,1.099,Unnamed Transit Station,85.143,Jeti Kuala Kemaman,49.071,Limited Access
OSM_relation_17400551,Pantai Pelindung,Beach,Pahang,Kuantan,3.826957,103.375943,Unnamed Bus Stop,Bus Stop,2210.8,2.211,Unnamed Bus Stop,2.211,Unnamed Transit Station,83.145,Jeti Kuala Kemaman,46.317,Limited Access
OSM_way_1481663783,Pantai Tanjung Lumpur,Beach,Pahang,Kuantan,3.804266,103.341737,Unnamed Bus Stop,Bus Stop,1278.7,1.279,Unnamed Bus Stop,1.279,Unnamed Transit Station,85.428,Jeti Kuala Kemaman,49.539,Limited Access
OSM_relation_17398995,Pantai Teluk Sisek,Beach,Pahang,Kuantan,3.804723,103.366734,Unnamed Bus Stop,Bus Stop,2354.7,2.355,Unnamed Bus Stop,2.355,Unnamed Transit Station,85.523,Jeti Kuala Kemaman,48.92,Limited Access
OSM_way_35571482,Pantai Teluk Tongkang,Beach,Pahang,Kuantan,3.817432,103.374663,Unnamed Bus Stop,Bus Stop,2183.9,2.184,Unnamed Bus Stop,2.184,Unnamed Transit Station,84.185,Jeti Kuala Kemaman,47.382,Limited Access
OSM_way_35571484,Teluk Cempedak Beach,Beach,Pahang,Kuantan,3.809809,103.372862,Unnamed Bus Stop,Bus Stop,2406.3,2.406,Unnamed Bus Stop,2.406,Unnamed Transit Station,85.011,Jeti Kuala Kemaman,48.248,Limited Access
OSM_way_907047133,Unnamed Beach,Beach,Pahang,Kuantan,3.960796,103.434724,Unnamed Bus Station / Terminal,Bus Terminal,5719.7,5.72,Unnamed Bus Station / Terminal,5.72,Unnamed Transit Station,69.344,Jeti Kuala Kemaman,30.869,Low Access
OSM_way_1305159324,Unnamed Beach,Beach,Pahang,Kuantan,4.127703,103.40406,Unnamed Bus Stop,Bus Stop,610.4,0.61,Unnamed Bus Stop,0.61,Unnamed Transit Station,50.544,Jeti Kuala Kemaman,13.172,Moderate Access
