asset_id,asset_name,category,state,district,lat,lon,nearest_healthcare_name,nearest_healthcare_type,distance_to_healthcare_m,distance_to_healthcare_km,nearest_hospital_name,distance_to_hospital_km,nearest_clinic_name,distance_to_clinic_km,nearest_pharmacy_name,distance_to_pharmacy_km,healthcare_access_tier,hospital_access_tier
OSM_node_5490277126,tree lookout,Viewpoint,Sarawak,Beluru,4.202144,114.042885,Klinik Ibu dan Anak Taman Tunku,Clinic,11369.2,11.369,Miri General Hospital,19.652,Klinik Ibu dan Anak Taman Tunku,11.369,Advance Medic Pharmacy (AM),12.963,Low Access,Limited Emergency Access
OSM_node_4525864189,Dinding,Waterfall,Sarawak,Beluru,4.198831,114.007883,Klinik Ibu dan Anak Taman Tunku,Clinic,11754.3,11.754,Miri General Hospital,19.47,Klinik Ibu dan Anak Taman Tunku,11.754,Clover Pharmacy,12.067,Low Access,Limited Emergency Access
OSM_node_5132733235,Latak Waterfall,Waterfall,Sarawak,Beluru,4.204148,114.042559,Klinik Ibu dan Anak Taman Tunku,Clinic,11144.4,11.144,Miri General Hospital,19.428,Klinik Ibu dan Anak Taman Tunku,11.144,Advance Medic Pharmacy (AM),12.747,Low Access,Limited Emergency Access
OSM_node_4525501694,Nibong,Waterfall,Sarawak,Beluru,4.204185,114.03381,Klinik Ibu dan Anak Taman Tunku,Clinic,11022.0,11.022,Miri General Hospital,19.215,Klinik Ibu dan Anak Taman Tunku,11.022,Advance Medic Pharmacy (AM),12.353,Low Access,Limited Emergency Access
OSM_node_4525864090,Pancur,Waterfall,Sarawak,Beluru,4.187463,114.012926,Clover Pharmacy,Pharmacy,11175.3,11.175,Miri General Hospital,20.756,Klinik Steven Ngo,11.366,Clover Pharmacy,11.175,Low Access,Limited Emergency Access
OSM_node_4525889589,Pantu,Waterfall,Sarawak,Beluru,4.202492,114.028615,Klinik Ibu dan Anak Taman Tunku,Clinic,11179.1,11.179,Miri General Hospital,19.298,Klinik Ibu dan Anak Taman Tunku,11.179,Advance Medic Pharmacy (AM),12.33,Low Access,Limited Emergency Access
OSM_node_4525864089,Tengkorong,Waterfall,Sarawak,Beluru,4.192617,114.011439,Clover Pharmacy,Pharmacy,11606.8,11.607,Miri General Hospital,20.176,Klinik Steven Ngo,11.794,Clover Pharmacy,11.607,Low Access,Limited Emergency Access
OSM_node_5132733234,Waterfall 1,Waterfall,Sarawak,Beluru,4.201899,114.044919,Klinik Ibu dan Anak Taman Tunku,Clinic,11435.2,11.435,Miri General Hospital,19.733,Klinik Ibu dan Anak Taman Tunku,11.435,Advance Medic Pharmacy (AM),13.086,Low Access,Limited Emergency Access
OSM_node_5132739130,Waterfall 2,Waterfall,Sarawak,Beluru,4.20312,114.043329,Klinik Ibu dan Anak Taman Tunku,Clinic,11270.9,11.271,Miri General Hospital,19.559,Klinik Ibu dan Anak Taman Tunku,11.271,Advance Medic Pharmacy (AM),12.887,Low Access,Limited Emergency Access
OSM_node_5198269521,Batu Cape Beach,Attraction,Sarawak,Bintulu,3.209828,113.046264,Bintulu Medical Center,Hospital,1538.6,1.539,Bintulu Medical Center,1.539,Klinik Syazwani Sdn Bhd,1.824,Guardian,1.586,High Access,High Emergency Access
OSM_node_6841122785,Beach Access Point,Attraction,Sarawak,Bintulu,3.363195,113.15964,Bintulu General Hospital,Hospital,16167.3,16.167,Bintulu General Hospital,16.167,Klinik Syazwani Sdn Bhd,21.668,Guardian,21.081,Low Access,Limited Emergency Access
OSM_node_4316728089,ABF Beach Perahu Jetty,Attraction,Sarawak,Bintulu,3.227146,113.062714,Columbia Asia Hospital,Hospital,2658.3,2.658,Columbia Asia Hospital,2.658,Klinik Syazwani Sdn Bhd,3.405,Guardian,2.807,Moderate Access,High Emergency Access
OSM_way_553046544,Monument Council of State,Attraction,Sarawak,Bintulu,3.173239,113.038857,Unnamed Pharmacy,Pharmacy,320.4,0.32,Bintulu Medical Center,3.602,Klinik Haji Roslan,0.631,Unnamed Pharmacy,0.32,High Access,High Emergency Access
OSM_way_422583461,Bintulu Night Market,Attraction,Sarawak,Bintulu,3.171202,113.044294,Klinik Haji Roslan,Clinic,115.9,0.116,Bintulu Medical Center,3.518,Klinik Haji Roslan,0.116,Unnamed Pharmacy,0.327,High Access,High Emergency Access
OSM_node_5331255883,Sculpture,Attraction,Sarawak,Bintulu,3.182156,113.040457,Unnamed Pharmacy,Pharmacy,1215.1,1.215,Bintulu Medical Center,2.706,Klinik Haji Roslan,1.359,Unnamed Pharmacy,1.215,High Access,High Emergency Access
OSM_node_4223306312,Unnamed Attraction,Attraction,Sarawak,Bintulu,3.182431,113.040242,Unnamed Pharmacy,Pharmacy,1246.6,1.247,Bintulu Medical Center,2.699,Klinik Haji Roslan,1.395,Unnamed Pharmacy,1.247,High Access,High Emergency Access
OSM_way_421464173,Golden Beach,Beach,Sarawak,Bintulu,3.42443,113.204519,Bintulu General Hospital,Hospital,24456.2,24.456,Bintulu General Hospital,24.456,Klinik Syazwani Sdn Bhd,30.065,Guardian,29.48,Low Access,Limited Emergency Access
OSM_node_7839619088,Mardhiah Beach,Beach,Sarawak,Bintulu,3.157047,113.002464,Unnamed Pharmacy,Pharmacy,4548.7,4.549,Bintulu Medical Center,7.699,Klinik i-Care,4.795,Unnamed Pharmacy,4.549,Moderate Access,Moderate Emergency Access
OSM_way_554855856,Batu Cape Beach,Beach,Sarawak,Bintulu,3.210898,113.0467,Bintulu Medical Center,Hospital,1586.5,1.587,Bintulu Medical Center,1.586,Klinik Syazwani Sdn Bhd,1.889,Guardian,1.613,High Access,High Emergency Access
OSM_way_421464188,Turtle Beach 1,Beach,Sarawak,Bintulu,3.395704,113.174493,Bintulu General Hospital,Hospital,20125.4,20.125,Bintulu General Hospital,20.125,Klinik Syazwani Sdn Bhd,25.6,Guardian,25.009,Low Access,Limited Emergency Access
